"","year","iso2c","country.x","nominal.exchange.rate","GDP.per.capita","total.reserves.outof.total.external.debt","external.Debt/GNI","polity2","US.3m.treasury.yield","currency.crisis","lag.GDP.per.capita","lag.total.reserves"
"3266",2008,"ID","Indonesia",95.58268698617,2876.88504026905,32.7033012524566,32.0885300005133,8,"1.36541666666667",0,2750.61514270466,38.5175679664921
"3422",2009,"ID","Indonesia",91.07123858543,2970.0441310658,36.8566173140176,34.4530144775482,8,"0.142583333333333",0,2876.88504026905,32.7033012524566
"3568",2010,"ID","Indonesia",99.9901728473,3113.48063451434,48.5255678000363,26.9757507607873,8,"0.13375",0,2970.0441310658,36.8566173140176
"3740",2011,"ID","Indonesia",98.6301494924,3262.7486126075,50.1487947499227,25.294834189212,8,"0.051325",0,3113.48063451434,48.5255678000363
"3959",2012,"ID","Indonesia",93.73088834908,3415.35126676747,44.6622659456912,28.314775400023,8,"0.0836666666666667",0,3262.7486126075,50.1487947499227
"4095",2013,"ID","Indonesia",86.64905159895,3560.1065804283,37.439698347178,29.9868456294857,8,"0.0535416666666667",0,3415.35126676747,44.6622659456912
"4298",2014,"ID","Indonesia",77.76171498711,3692.94287536985,38.1804209932161,34.0304777676449,9,"0.0308333333333333",0,3560.1065804283,37.439698347178
"4410",2015,"ID","Indonesia",75.08299002456,3827.55077886415,34.5945986733123,36.7897339111105,9,"0.0488888888888889",0,3692.94287536985,38.1804209932161
"976",1995,"IN","India",127.21307959989,677.035529084566,24.3736131718362,26.6922358287768,9,"5.65333333333333",0,641.573900115286,24.7408255053869
"1148",1996,"IN","India",121.0094897227,714.453907948628,26.487606606442,24.4721602663866,9,"5.13666666666667",0,677.035529084566,24.3736131718362
"1219",1997,"IN","India",126.76942376413,729.590537265449,30.1781699979147,23.1236367107051,9,"5.1975",0,714.453907948628,26.487606606442
"1510",1998,"IN","India",120.60584499652,760.552226810044,31.1658971381432,23.8573950073118,9,"4.90083333333333",0,729.590537265449,30.1781699979147
"1689",1999,"IN","India",118.82463323193,812.973136860748,36.0848602359077,22.2157134213469,9,"4.76833333333333",0,760.552226810044,31.1658971381432
"1837",2000,"IN","India",120.20217307433,829.359089542503,40.5996830681151,22.1211416585834,9,"5.99845",0,812.973136860748,36.0848602359077
"2012",2001,"IN","India",119.76973414578,854.415987285995,49.2972782810066,20.9580600900474,9,"3.47681166666667",0,829.359089542503,40.5996830681151
"2148",2002,"IN","India",115.27055699258,872.000860709436,67.7196732128737,20.9546445153568,9,"1.63307666666667",0,854.415987285995,49.2972782810066
"2377",2003,"IN","India",111.836606404,925.076881478575,87.2587286321884,19.9776923449071,9,"1.02120833333333",0,872.000860709436,67.7196732128737
"2512",2004,"IN","India",109.63605313123,982.316702936593,106.459375596124,17.7980135178062,9,"1.38919166666667",0,925.076881478575,87.2587286321884
"2714",2005,"IN","India",111.18197290025,1043.48676445824,113.721097540285,15.0927847362096,9,"3.21279166666667",0,982.316702936593,106.459375596124
"2821",2006,"IN","India",107.07580285188,1110.26873700433,111.612103170269,17.4732010384816,9,"4.84720833333333",0,1043.48676445824,113.721097540285
"2982",2007,"IN","India",111.88947525972,1177.3861940368,135.539271150077,17.0614193525312,9,"4.45216666666667",0,1110.26873700433,111.612103170269
"3112",2008,"IN","India",102.65269034237,1196.02098267845,113.34627158209,19.2501019390736,9,"1.36541666666667",0,1177.3861940368,135.539271150077
"3277",2009,"IN","India",96.03265719452,1271.85888693934,111.068782437114,19.4776289916736,9,"0.142583333333333",0,1196.02098267845,113.34627158209
"3460",2010,"IN","India",99.98676897154,1361.2035712211,103.111337615727,17.7234405756725,9,"0.13375",0,1271.85888693934,111.068782437114
"3631",2011,"IN","India",94.18718546597,1413.87799536613,89.3361580527955,18.5055803026848,9,"0.051325",0,1361.2035712211,103.111337615727
"3818",2012,"IN","India",84.10182065194,1472.33786030669,76.517139656581,21.7379019216514,9,"0.0836666666666667",0,1413.87799536613,89.3361580527955
"4005",2013,"IN","India",77.08426557398,1547.37838221922,69.7624635340099,23.3036660306336,9,"0.0535416666666667",0,1472.33786030669,76.517139656581
"4204",2014,"IN","India",74.86831222595,1642.39258369416,71.0478015412073,22.7071516216905,9,"0.0308333333333333",0,1547.37838221922,69.7624635340099
"4488",2015,"IN","India",78.07040352337,1753.13419353904,73.7811200907495,23.0451403794208,9,"0.0488888888888889",0,1642.39258369416,71.0478015412073
"2742",2005,"LB","Lebanon",106.81639008363,6671.37125336287,73.0798551236235,106.797214398359,6,"3.21279166666667",0,6700.62720620694,69.2886291635329
"2917",2006,"LB","Lebanon",106.03526435462,6666.99035597028,79.6413059945578,108.815590086497,6,"4.84720833333333",0,6671.37125336287,73.0798551236235
"3048",2007,"LB","Lebanon",101.10238883717,7237.80988903451,79.7279785748136,100.849725448809,6,"4.45216666666667",0,6666.99035597028,79.6413059945578
"3170",2008,"LB","Lebanon",96.33072647223,7859.94419849244,64.3749154475691,148.034778389109,6,"1.36541666666667",0,7237.80988903451,79.7279785748136
"3311",2009,"LB","Lebanon",99.55737770579,8501.10851061634,84.9949509476277,130.605168230542,6,"0.142583333333333",0,7859.94419849244,64.3749154475691
"3523",2010,"LB","Lebanon",100,8858.28397217732,93.2416034497377,125.820170503744,6,"0.13375",0,8501.10851061634,84.9949509476277
"3713",2011,"LB","Lebanon",98.48616813579,8450.10746162888,96.5966671674207,124.373261767805,6,"0.051325",0,8858.28397217732,93.2416034497377
"3875",2012,"LB","Lebanon",109.26720196965,8107.07881506345,94.4735130443173,127.352124354493,6,"0.0836666666666667",0,8450.10746162888,96.5966671674207
"4027",2013,"LB","Lebanon",124.64089153089,7754.77056079279,77.1918236504091,135.359059369484,6,"0.0535416666666667",0,8107.07881506345,94.4735130443173
"4224",2014,"LB","Lebanon",137.63613216969,7445.74828951353,78.8788668686399,135.954288178573,6,"0.0308333333333333",0,7754.77056079279,77.1918236504091
"4467",2015,"LB","Lebanon",162.25305750522,7147.27393094336,71.7795511213449,138.394457902876,6,"0.0488888888888889",0,7445.74828951353,78.8788668686399
"190",1991,"LS","Lesotho",253.70544216857,708.339212809535,25.7137071279184,41.438593205919,-7,"5.53416666666667",0,674.830851920505,18.2953528050702
"433",1992,"LS","Lesotho",242.6985809752,742.797168827556,31.8538893295025,40.7996956949447,-7,"3.50833333333333",0,708.339212809535,25.7137071279184
"556",1993,"LS","Lesotho",221.30860694117,753.836738344044,46.5890039079254,46.4505677833647,8,"3.06416666666667",0,742.797168827556,31.8538893295025
"817",1994,"LS","Lesotho",204.20085088396,784.205279943074,59.8536549242547,51.5573745269111,8,"4.34833333333333",0,753.836738344044,46.5890039079254
"960",1995,"LS","Lesotho",192.8384325024,796.629579201405,66.7398581235461,51.1043152916156,8,"5.65333333333333",0,784.205279943074,59.8536549242547
"1068",1996,"LS","Lesotho",165.55841560212,829.020254185529,65.6711594204552,55.3591737004833,8,"5.13666666666667",0,796.629579201405,66.7398581235461
"1255",1997,"LS","Lesotho",156.56814107154,848.716468558167,84.9598756806745,50.9172597214952,8,"5.1975",0,829.020254185529,65.6711594204552
"1432",1998,"LS","Lesotho",136.19273947127,851.95762854153,83.5621023257315,57.7322460489152,0,"4.90083333333333",0,848.716468558167,84.9598756806745
"1648",1999,"LS","Lesotho",121.27335340666,847.118245440281,72.6955344911945,57.49977210229,2,"4.76833333333333",0,851.95762854153,83.5621023257315
"1838",2000,"LS","Lesotho",107.49036127356,871.391723601134,54.293460485115,68.0821957181999,4,"5.99845",0,847.118245440281,72.6955344911945
"2048",2001,"LS","Lesotho",88.86403201744,894.170084319195,56.4709215216611,57.3016731671088,6,"3.47681166666667",1,871.391723601134,54.293460485115
"2219",2002,"LS","Lesotho",72.0088993924,892.898248717126,57.0281806246419,63.4366377242048,8,"1.63307666666667",1,894.170084319195,56.4709215216611
"2381",2003,"LS","Lesotho",98.84332875429,925.929242796454,65.2251172680282,42.6473274867667,8,"1.02120833333333",0,892.898248717126,57.0281806246419
"2504",2004,"LS","Lesotho",113.74268446074,933.988150004705,64.8410386504947,37.3121483848754,8,"1.38919166666667",0,925.929242796454,65.2251172680282
"2720",2005,"LS","Lesotho",116.26116739486,958.522052138607,77.9104375083114,30.5162062226227,8,"3.21279166666667",0,933.988150004705,64.8410386504947
"2856",2006,"LS","Lesotho",110.27553896122,990.875793018352,100.146277142436,29.3055727855141,8,"4.84720833333333",0,958.522052138607,77.9104375083114
"3084",2007,"LS","Lesotho",104.07013555817,1030.0525702895,146.284914968826,27.6066782640111,8,"4.45216666666667",0,990.875793018352,100.146277142436
"3236",2008,"LS","Lesotho",89.58638190604,1089.77396690966,138.780650641188,28.0420614798569,8,"1.36541666666667",0,1030.0525702895,146.284914968826
"3347",2009,"LS","Lesotho",89.16966507105,1102.62196043893,153.914307969912,31.699107212799,8,"0.142583333333333",0,1089.77396690966,138.780650641188
"3583",2010,"LS","Lesotho",100,1157.34109192083,135.897804232735,26.0675932628891,8,"0.13375",0,1102.62196043893,153.914307969912
"3761",2011,"LS","Lesotho",98.83606132144,1223.05878555607,112.962052453102,24.673302154394,8,"0.051325",0,1157.34109192083,135.897804232735
"3927",2012,"LS","Lesotho",89.83026912068,1280.43811300939,117.187878293236,28.3546992895198,8,"0.0836666666666667",0,1223.05878555607,112.962052453102
"4147",2013,"LS","Lesotho",78.1155426352,1287.15086397068,116.981135918575,31.3481011404208,8,"0.0535416666666667",0,1280.43811300939,117.187878293236
"4301",2014,"LS","Lesotho",70.75308383862,1309.7495799813,120.253590028903,30.7780982472467,8,"0.0308333333333333",0,1287.15086397068,116.981135918575
"4423",2015,"LS","Lesotho",64.47162106827,1328.12313806948,112.269958164673,31.8969260062975,8,"0.0488888888888889",0,1309.7495799813,120.253590028903
"278",1991,"MA","Morocco",85.67387998313,1811.40161765356,14.8828247158559,71.9063283752697,-8,"5.53416666666667",0,1720.78048670646,9.34022569338606
"400",1992,"MA","Morocco",87.88763790725,1741.92088835927,16.8309624260628,69.1942915603677,-7,"3.50833333333333",0,1811.40161765356,14.8828247158559
"603",1993,"MA","Morocco",92.87010265226,1699.40366249622,17.7704494589926,72.2417605832932,-7,"3.06416666666667",0,1741.92088835927,16.8309624260628
"751",1994,"MA","Morocco",90.49550781276,1848.78323736102,20.1039757780672,66.4544213994957,-7,"4.34833333333333",0,1699.40366249622,17.7704494589926
"925",1995,"MA","Morocco",92.61742518293,1722.19330628966,16.2855006507669,62.9224746128181,-7,"5.65333333333333",0,1848.78323736102,20.1039757780672
"1056",1996,"MA","Morocco",94.17114969819,1907.78644656958,16.729351175316,57.544142864144,-7,"5.13666666666667",0,1722.19330628966,16.2855006507669
"1188",1997,"MA","Morocco",96.42767941947,1853.01285455932,17.8588503563245,61.5664349161113,-7,"5.1975",0,1907.78644656958,16.729351175316
"1462",1998,"MA","Morocco",100.04170741587,1962.03423982711,19.6041572225922,57.6863993115374,-6,"4.90083333333333",0,1853.01285455932,17.8588503563245
"1551",1999,"MA","Morocco",102.84001993076,1958.95378604297,25.5587338007229,56.418441567491,-6,"4.76833333333333",0,1962.03423982711,19.6041572225922
"1713",2000,"MA","Morocco",105.93376782546,1972.3002866719,24.1318709953348,54.575228909608,-6,"5.99845",0,1958.95378604297,25.5587338007229
"1908",2001,"MA","Morocco",103.2088336576,2091.23451593821,45.8726266686192,48.8003186849143,-6,"3.47681166666667",0,1972.3002866719,24.1318709953348
"2056",2002,"MA","Morocco",101.89610827305,2130.73391780987,57.3106967397407,43.5336717310768,-6,"1.63307666666667",0,2091.23451593821,45.8726266686192
"2235",2003,"MA","Morocco",101.94606471059,2230.90475266458,77.1480457449598,35.6943268898328,-6,"1.02120833333333",0,2130.73391780987,57.3106967397407
"2522",2004,"MA","Morocco",101.41177760122,2310.33844900451,97.795223403994,28.8244047410865,-6,"1.38919166666667",0,2230.90475266458,77.1480457449598
"2684",2005,"MA","Morocco",100.23798061764,2358.44357888445,101.823910365474,26.1872508581626,-6,"3.21279166666667",0,2310.33844900451,97.795223403994
"2921",2006,"MA","Morocco",100.23782405135,2507.67465818724,115.860090628809,26.2880763927258,-6,"4.84720833333333",0,2358.44357888445,101.823910365474
"3008",2007,"MA","Morocco",100.07933118714,2566.21670054174,119.509235204386,26.256414685754,-6,"4.45216666666667",0,2507.67465818724,115.860090628809
"3159",2008,"MA","Morocco",100.88402775007,2686.22829742839,108.411321364525,22.7024302380536,-6,"1.36541666666667",0,2566.21670054174,119.509235204386
"3389",2009,"MA","Morocco",102.75192434162,2765.85615386279,95.490822632854,26.9400763423847,-6,"0.142583333333333",0,2686.22829742839,108.411321364525
"3524",2010,"MA","Morocco",100,2834.20471989688,86.9787859100727,29.6509310855932,-6,"0.13375",0,2765.85615386279,95.490822632854
"3663",2011,"MA","Morocco",100.08769348384,2942.03881663557,67.3670938472218,30.038557467226,-4,"0.051325",0,2834.20471989688,86.9787859100727
"3809",2012,"MA","Morocco",99.55678875695,2987.31591963857,50.6287438708915,35.1578223006981,-4,"0.0836666666666667",0,2942.03881663557,67.3670938472218
"4024",2013,"MA","Morocco",101.55224676403,3077.31500512412,47.8617708114443,37.2739025709411,-4,"0.0535416666666667",0,2987.31591963857,50.6287438708915
"4267",2014,"MA","Morocco",102.71329054218,3113.79941456075,47.3002655750159,39.8671459689398,-4,"0.0308333333333333",0,3077.31500512412,47.8617708114443
"4431",2015,"MA","Morocco",102.54591313134,3209.31180433047,52.8331457386282,43.3837923857063,-4,"0.0488888888888889",0,3113.79941456075,47.3002655750159
"1093",1996,"MD","Moldova",151.53927071128,1025.10658557064,36.8024876282436,48.430476137943,7,"5.13666666666667",0,1086.93603328742,36.9713840304355
"1245",1997,"MD","Moldova",174.97771711808,1045.85165822723,33.8120824504173,54.736286123931,7,"5.1975",0,1025.10658557064,36.8024876282436
"1489",1998,"MD","Moldova",173.4384189852,977.824995511346,13.4054932229947,63.9740035234969,7,"4.90083333333333",0,1045.85165822723,33.8120824504173
"1666",1999,"MD","Moldova",111.953444943,946.374187401233,15.649689151222,99.2668580220183,7,"4.76833333333333",1,977.824995511346,13.4054932229947
"1865",2000,"MD","Moldova",109.42171725559,968.288176681114,12.080279707822,140.593774566686,7,"5.99845",0,946.374187401233,15.649689151222
"2041",2001,"MD","Moldova",112.22141358638,1029.6537646372,12.7632775487432,113.57890842024,8,"3.47681166666667",0,968.288176681114,12.080279707822
"2167",2002,"MD","Moldova",106.62219287012,1112.5401927953,13.6836236547965,110.908684579113,8,"1.63307666666667",0,1029.6537646372,12.7632775487432
"2384",2003,"MD","Moldova",94.83684369269,1189.31217378208,14.2813883639726,95.5546286819756,8,"1.02120833333333",0,1112.5401927953,13.6836236547965
"2439",2004,"MD","Moldova",100.98428583303,1280.48591638802,22.2441494829385,72.0355551328404,8,"1.38919166666667",0,1189.31217378208,14.2813883639726
"2729",2005,"MD","Moldova",96.86965399403,1379.87561746639,26.9205541502462,66.3038011818204,9,"3.21279166666667",0,1280.48591638802,22.2441494829385
"2914",2006,"MD","Moldova",92.09823522855,1450.13431499639,29.5746666263218,68.8265723182004,9,"4.84720833333333",0,1379.87561746639,26.9205541502462
"3036",2007,"MD","Moldova",92.77952618662,1497.10382581433,39.6307300257371,69.9441443671339,9,"4.45216666666667",0,1450.13431499639,29.5746666263218
"3118",2008,"MD","Moldova",104.72279716118,1616.95279003258,44.903412391896,56.0143248238842,9,"1.36541666666667",0,1497.10382581433,39.6307300257371
"3278",2009,"MD","Moldova",110.28785215984,1521.85557085956,39.8443359057077,64.6579645649165,9,"0.142583333333333",0,1616.95279003258,44.903412391896
"3488",2010,"MD","Moldova",100,1631.53583179532,36.3551689652063,75.0364845440884,9,"0.13375",0,1521.85557085956,39.8443359057077
"3634",2011,"MD","Moldova",103.11184163627,1743.48807670045,37.6720492130668,68.7096120212471,9,"0.051325",0,1631.53583179532,36.3551689652063
"3812",2012,"MD","Moldova",106.3981998229,1731.51079758455,47.2735834961189,65.6728758734787,9,"0.0836666666666667",0,1743.48807670045,37.6720492130668
"4019",2013,"MD","Moldova",102.06269352325,1894.78010906573,45.4642096670083,70.0473512415684,9,"0.0535416666666667",0,1731.51079758455,47.2735834961189
"4213",2014,"MD","Moldova",97.24186803517,1986.94062002496,36.8591125525977,66.4309440696109,9,"0.0308333333333333",0,1894.78010906573,45.4642096670083
"4456",2015,"MD","Moldova",90.31575022406,1980.26741236966,28.7688692687937,87.5722929723289,9,"0.0488888888888889",0,1986.94062002496,36.8591125525977
"316",1991,"MW","Malawi",3103.47584413095,351.859538989434,9.47434430090499,77.1867408525716,-9,"5.53416666666667",0,330.589143032966,9.11945708517817
"459",1992,"MW","Malawi",2602.70131113554,323.089840304842,2.58804162541268,97.0684916176149,-9,"3.50833333333333",1,351.859538989434,9.47434430090499
"568",1993,"MW","Malawi",2423.28198988218,353.453597942818,3.38896322838012,90.013353989952,-8,"3.06416666666667",0,323.089840304842,2.58804162541268
"694",1994,"MW","Malawi",1535.43323299546,315.927734502447,2.36096858485822,177.503892830513,6,"4.34833333333333",1,353.453597942818,3.38896322838012
"903",1995,"MW","Malawi",736.61854308387,364.606325092406,5.13547528063437,165.827219830311,6,"5.65333333333333",1,315.927734502447,2.36096858485822
"1070",1996,"MW","Malawi",805.32864653175,383.515593593681,9.74515896692104,103.106599183714,6,"5.13666666666667",0,364.606325092406,5.13547528063437
"1246",1997,"MW","Malawi",805.53731664046,387.628321758274,6.5558693845205,84.8798016304442,6,"5.1975",0,383.515593593681,9.74515896692104
"1529",1998,"MW","Malawi",492.37883895105,390.580155997513,10.6251524300591,142.697104515703,6,"4.90083333333333",1,387.628321758274,6.5558693845205
"1703",1999,"MW","Malawi",343.31393311855,390.087033729087,9.07311066889707,158.983182460985,6,"4.76833333333333",1,390.580155997513,10.6251524300591
"1867",2000,"MW","Malawi",286.54781349534,384.677869115378,9.07548667429153,159.103758031868,6,"5.99845",1,390.087033729087,9.07311066889707
"2017",2001,"MW","Malawi",256.87674616007,355.548722313545,7.95056311857572,153.959868564917,4,"3.47681166666667",0,384.677869115378,9.07548667429153
"2181",2002,"MW","Malawi",257.34016749835,352.026345735565,5.71800017354478,84.0509132788407,4,"1.63307666666667",0,355.548722313545,7.95056311857572
"2343",2003,"MW","Malawi",170.05573537811,362.369769168414,4.09465877430823,98.2274718851943,5,"1.02120833333333",1,352.026345735565,5.71800017354478
"2506",2004,"MW","Malawi",136.56304458669,371.785146809454,3.88178530565683,100.389565440247,6,"1.38919166666667",1,362.369769168414,4.09465877430823
"2709",2005,"MW","Malawi",123.54662806113,373.229892800969,5.16994161628929,88.38269885538,6,"3.21279166666667",0,371.785146809454,3.88178530565683
"2831",2006,"MW","Malawi",108.80011399272,379.436338751583,16.3029164628527,21.9844243309254,6,"4.84720833333333",0,373.229892800969,5.16994161628929
"3033",2007,"MW","Malawi",103.32511638105,403.492183680823,26.1644164043262,19.6948723110297,6,"4.45216666666667",0,379.436338751583,16.3029164628527
"3196",2008,"MW","Malawi",105.42762424811,421.223625652523,25.5280917347806,18.7716128264509,6,"1.36541666666667",0,403.492183680823,26.1644164043262
"3334",2009,"MW","Malawi",110.32426779867,442.554637959349,14.2687051418338,18.6607639337726,6,"0.142583333333333",0,421.223625652523,25.5280917347806
"3585",2010,"MW","Malawi",100,458.865430122972,31.8771016214112,14.8971594113112,6,"0.13375",0,442.554637959349,14.2687051418338
"3748",2011,"MW","Malawi",94.32053857645,466.960549438657,17.8855827119269,15.3835772959881,6,"0.051325",0,458.865430122972,31.8771016214112
"3916",2012,"MW","Malawi",67.67480155548,461.884579443324,18.4042824497582,22.5540457223967,6,"0.0836666666666667",1,466.960549438657,17.8855827119269
"4118",2013,"MW","Malawi",45.42031288745,471.837644401575,27.46692438821,29.1268213314212,6,"0.0535416666666667",1,461.884579443324,18.4042824497582
"4211",2014,"MW","Malawi",41.31827616623,484.365728070198,37.1540035457073,28.1789872703015,6,"0.0308333333333333",0,471.837644401575,27.46692438821
"4454",2015,"MW","Malawi",40.46728710726,483.625918638386,39.1346316805056,28.1088656423381,6,"0.0488888888888889",0,484.365728070198,37.1540035457073
"47",1990,"MX","Mexico",406.07,7661.6730795752,9.76712258128555,41.1692620476201,0,"7.74166666666667",0,483.625918638386,39.1346316805056
"310",1991,"MX","Mexico",387.2548096167,7827.45053199617,15.8046766405678,37.3455379711341,0,"5.53416666666667",0,7661.6730795752,9.76712258128555
"481",1992,"MX","Mexico",385.78029842985,7944.33963620842,17.0480477687327,31.7656154457327,0,"3.50833333333333",0,7827.45053199617,15.8046766405678
"608",1993,"MX","Mexico",404.59848906919,7940.14414567063,19.1871269783756,26.7702449337745,0,"3.06416666666667",0,7944.33963620842,17.0480477687327
"769",1994,"MX","Mexico",372.1983974842,8174.69202054649,4.60379074237921,27.2045565195543,4,"4.34833333333333",0,7940.14414567063,19.1871269783756
"931",1995,"MX","Mexico",195.88645945614,7522.22183960227,10.2232027981104,50.4485475979041,4,"5.65333333333333",1,8174.69202054649,4.60379074237921
"1092",1996,"MX","Mexico",166.5745419678,7893.9074264373,12.3915232118125,41.0945757554358,4,"5.13666666666667",0,7522.22183960227,10.2232027981104
"1330",1997,"MX","Mexico",163.78078276303,8296.16586148783,19.3842620652305,31.8204279195282,6,"5.1975",0,7893.9074264373,12.3915232118125
"1453",1998,"MX","Mexico",146.5889826893,8588.63785129018,19.8921324342706,32.7737752490984,6,"4.90083333333333",0,8296.16586148783,19.3842620652305
"1588",1999,"MX","Mexico",139.87209698711,8694.98729995821,18.9483394340435,29.6445277215713,6,"4.76833333333333",0,8588.63785129018,19.8921324342706
"1819",2000,"MX","Mexico",143.12231959419,8997.43361741629,23.3204962928368,22.8164691322299,8,"5.99845",0,8694.98729995821,18.9483394340435
"1882",2001,"MX","Mexico",146.83403851098,8843.9011599615,26.9802792001911,23.3611597653661,8,"3.47681166666667",0,8997.43361741629,23.3204962928368
